date,time,currency,impact,event,detail,actual,forecast,previous,day
07/02/2017,02:00,NZD,red,Inflation Expectations q/q,https://www.forexfactory.com/calendar?month=february.2017#detail=65680,1.92%,,1.68%,Tue
07/02/2017,03:30,AUD,red,Cash Rate,https://www.forexfactory.com/calendar?month=february.2017#detail=68420,1.50%,1.50%,1.50%,Tue
07/02/2017,,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=february.2017#detail=68422,,,,Tue
07/02/2017,05:00,JPY,yellow,Leading Indicators,https://www.forexfactory.com/calendar?month=february.2017#detail=69207,105.2%,105.6%,102.8%,Tue
07/02/2017,06:45,CHF,yellow,SECO Consumer Climate,https://www.forexfactory.com/calendar?month=february.2017#detail=67607,-3,-11,-13,Tue
07/02/2017,07:00,EUR,yellow,German Industrial Production m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=66150,-3.0%,0.2%,0.5%,Tue
07/02/2017,07:45,EUR,yellow,French Gov Budget Balance,https://www.forexfactory.com/calendar?month=february.2017#detail=64515,-69.0B,,-93.3B,Tue
07/02/2017,,EUR,yellow,French Trade Balance,https://www.forexfactory.com/calendar?month=february.2017#detail=65030,-3.4B,-4.2B,-4.4B,Tue
07/02/2017,08:00,CHF,yellow,Foreign Currency Reserves,https://www.forexfactory.com/calendar?month=february.2017#detail=67650,644B,,645B,Tue
07/02/2017,08:30,GBP,orange,Halifax HPI m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=65922,-0.9%,0.2%,1.6%,Tue
07/02/2017,13:30,CAD,red,Trade Balance,https://www.forexfactory.com/calendar?month=february.2017#detail=69790,0.9B,1.2B,1.0B,Tue
07/02/2017,,CAD,orange,Building Permits m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=69789,-6.6%,-3.5%,-1.2%,Tue
07/02/2017,,USD,orange,Trade Balance,https://www.forexfactory.com/calendar?month=february.2017#detail=66510,-44.3B,-45.0B,-45.7B,Tue
07/02/2017,14:00,NZD,red,GDT Price Index,https://www.forexfactory.com/calendar?month=february.2017#detail=65630,1.3%,,0.6%,Tue
07/02/2017,15:00,CAD,orange,Ivey PMI,https://www.forexfactory.com/calendar?month=february.2017#detail=65223,57.2,58.3,60.8,Tue
07/02/2017,,USD,orange,JOLTS Job Openings,https://www.forexfactory.com/calendar?month=february.2017#detail=67557,5.50M,5.56M,5.51M,Tue
07/02/2017,,USD,yellow,RCM/TIPP Economic Optimism,https://www.forexfactory.com/calendar?month=february.2017#detail=65007,56.4,56.2,55.6,Tue
07/02/2017,20:00,USD,yellow,Consumer Credit m/m,https://www.forexfactory.com/calendar?month=february.2017#detail=66684,14.2B,20.3B,25.2B,Tue
07/02/2017,21:30,USD,yellow,API Weekly Statistical Bulletin,https://www.forexfactory.com/calendar?month=february.2017#detail=99078,,,,Tue
07/02/2017,23:50,JPY,yellow,Bank Lending y/y,https://www.forexfactory.com/calendar?month=february.2017#detail=68866,2.5%,2.7%,2.6%,Tue
07/02/2017,,JPY,yellow,BOJ Summary of Opinions,https://www.forexfactory.com/calendar?month=february.2017#detail=68962,,,,Tue
07/02/2017,,JPY,yellow,Current Account,https://www.forexfactory.com/calendar?month=february.2017#detail=69438,1.67T,1.71T,1.80T,Tue
08/02/2017,05:00,JPY,yellow,Economy Watchers Sentiment,https://www.forexfactory.com/calendar?month=february.2017#detail=69167,49.8,51.9,51.4,Wed
08/02/2017,10:33,EUR,yellow,German 10-y Bond Auction,https://www.forexfactory.com/calendar?month=february.2017#detail=70537,0.33|2.2,,0.36|1.8,Wed
08/02/2017,13:00,GBP,orange,MPC Member Cunliffe Speaks,https://www.forexfactory.com/calendar?month=february.2017#detail=70553,,,,Wed
08/02/2017,13:13,CAD,yellow,Housing Starts,https://www.forexfactory.com/calendar?month=february.2017#detail=65226,207K,202K,206K,Wed
08/02/2017,15:30,USD,red,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=february.2017#detail=64222,13.8M,2.7M,6.5M,Wed
08/02/2017,18:01,USD,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=february.2017#detail=64585,2.33|2.3,,2.34|2.6,Wed
08/02/2017,20:00,NZD,red,Official Cash Rate,https://www.forexfactory.com/calendar?month=february.2017#detail=65681,1.75%,1.75%,1.75%,Wed
08/02/2017,,NZD,red,RBNZ Rate Statement,https://www.forexfactory.com/calendar?month=february.2017#detail=65683,,,,Wed
08/02/2017,,NZD,orange,RBNZ Monetary Policy Statement,https://www.forexfactory.com/calendar?month=february.2017#detail=65682,,,,Wed
08/02/2017,21:00,NZD,red,RBNZ Press Conference,https://www.forexfactory.com/calendar?month=february.2017#detail=65684,,,,Wed
