date,time,currency,impact,actual,forecast,previous,day,event,detail
09/09/2015,09:30,GBP,red,-0.8%,0.2%,0.2%,Wed,,
09/09/2015,,GBP,orange,-11.1B,-9.5B,-8.5B,Wed,,
09/09/2015,,GBP,yellow,-0.4%,0.1%,-0.4%,Wed,,
09/09/2015,10:00,AUD,orange,,,,Wed,,
09/09/2015,10:34,EUR,yellow,0.69|1.2,,0.61|1.3,Wed,,
09/09/2015,13:13,CAD,yellow,217K,194K,193K,Wed,,
09/09/2015,13:30,CAD,red,-0.6%,-4.7%,15.5%,Wed,,
09/09/2015,15:00,CAD,red,,,,Wed,,
09/09/2015,,CAD,red,0.50%,0.50%,0.50%,Wed,,
09/09/2015,,GBP,orange,0.5%,,0.6%,Wed,,
09/09/2015,,USD,orange,5.75M,5.30M,5.32M,Wed,,
09/09/2015,18:01,USD,yellow,2.24|2.7,,2.12|2.4,Wed,,
09/09/2015,22:00,NZD,red,2.75%,2.75%,3.00%,Wed,,
09/09/2015,,NZD,red,,,,Wed,,
09/09/2015,,NZD,orange,,,,Wed,,
09/09/2015,22:05,NZD,red,,,,Wed,,
10/09/2015,00:01,GBP,yellow,53%,46%,44%,Thu,,
10/09/2015,00:50,JPY,orange,-3.6%,3.4%,-7.9%,Thu,,
10/09/2015,,JPY,yellow,-3.6%,-3.2%,-3.1%,Thu,,
10/09/2015,02:00,AUD,orange,3.2%,,3.7%,Thu,,
10/09/2015,02:10,NZD,red,,,,Thu,,
10/09/2015,02:30,AUD,red,17.4K,5.2K,39.2K,Thu,,
10/09/2015,,AUD,red,6.2%,6.2%,6.3%,Thu,,
10/09/2015,,CNY,red,2.0%,1.9%,1.6%,Thu,,
10/09/2015,,CNY,orange,-5.9%,-5.6%,-5.4%,Thu,,
10/09/2015,06:30,EUR,yellow,0.2%,0.2%,0.2%,Thu,,
10/09/2015,07:45,EUR,yellow,-0.8%,0.3%,0.0%,Thu,,
10/09/2015,08:00,GBP,orange,2.7%,0.5%,-0.4%,Thu,,
10/09/2015,08:42,CNY,yellow,9.2%,,7.9%,Thu,,
10/09/2015,12:00,GBP,red,,,,Thu,,
10/09/2015,,GBP,red,1-0-8,1-0-8,1-0-8,Thu,,
10/09/2015,,GBP,red,0.50%,0.50%,0.50%,Thu,,
10/09/2015,,GBP,orange,375B,375B,375B,Thu,,
10/09/2015,,GBP,orange,0-0-9,0-0-9,0-0-9,Thu,,
10/09/2015,13:30,CAD,orange,0.1%,0.2%,0.3%,Thu,,
10/09/2015,,CAD,yellow,81.3%,81.8%,82.6%,Thu,,
10/09/2015,,USD,red,275K,279K,281K,Thu,,
10/09/2015,,USD,orange,-1.8%,-1.7%,-0.9%,Thu,,
10/09/2015,15:00,USD,yellow,-0.1%,0.2%,0.7%,Thu,,
10/09/2015,15:30,USD,yellow,68B,76B,94B,Thu,,
10/09/2015,16:00,USD,orange,2.6M,0.9M,4.7M,Thu,,
10/09/2015,18:01,USD,yellow,2.98|2.5,,2.88|2.3,Thu,,
10/09/2015,23:30,NZD,yellow,55.0,,53.7,Thu,,
10/09/2015,23:45,NZD,yellow,-0.5%,,0.6%,Thu,,
11/09/2015,00:50,JPY,orange,11.0,-1.9,-6.0,Fri,,
11/09/2015,07:00,EUR,yellow,0.0%,0.0%,0.0%,Fri,,
11/09/2015,,EUR,yellow,-0.8%,0.2%,0.1%,Fri,,
11/09/2015,09:00,CNY,yellow,13.3%,13.3%,13.3%,Fri,,
11/09/2015,,CNY,yellow,810B,850B,1480B,Fri,,
